AUDITUSER,AUDITTIMESTAMP,EGROUPID,USERID,ACCESSLEVEL
OPSSYS_BD,"2024-02-19 14:00:00.677",3,201,2
OPSSYS_BD,"2024-02-19 14:00:00.677",1,202,2
OPSSYS_BD,"2024-02-19 14:00:00.680",2,202,2
OPSSYS_BD,"2024-02-19 14:00:00.680",3,202,2
OPSSYS_BD,"2024-02-19 14:00:00.683",1,206,2
OPSSYS_BD,"2024-02-19 14:00:00.683",2,206,2
OPSSYS_BD,"2024-02-19 14:00:00.683",3,206,2
OPSSYS_BD,"2024-02-19 14:00:00.687",1,210,2
OPSSYS_BD,"2024-02-19 14:00:00.687",2,210,2
OPSSYS_BD,"2024-02-19 14:00:00.690",3,210,2
OPSSYS_BD,"2024-02-19 14:00:00.690",1,211,2
OPSSYS_BD,"2024-02-19 14:00:00.690",2,211,2
OPSSYS_BD,"2024-02-19 14:00:00.693",3,211,2
OPSSYS_BD,"2024-02-19 14:00:00.693",1,214,2
OPSSYS_BD,"2024-02-19 14:00:00.697",2,214,2
OPSSYS_BD,"2024-02-19 14:00:00.697",3,214,2
OPSSYS_BD,"2024-02-19 14:00:00.700",1,221,2
OPSSYS_BD,"2024-02-19 14:00:00.700",2,221,2
OPSSYS_BD,"2024-02-19 14:00:00.700",3,221,2
OPSSYS_BD,"2024-02-19 14:00:00.703",1,223,2
OPSSYS_BD,"2024-02-19 14:00:00.703",2,223,2
OPSSYS_BD,"2024-02-19 14:00:00.703",3,223,2
OPSSYS_BD,"2024-02-19 14:00:00.707",1,225,2
OPSSYS_BD,"2024-02-19 14:00:00.707",2,225,2
OPSSYS_BD,"2024-02-19 14:00:00.707",3,225,2
OPSSYS_BD,"2024-02-19 14:00:00.710",1,226,2
OPSSYS_BD,"2024-02-19 14:00:00.710",2,226,2
OPSSYS_BD,"2024-02-19 14:00:00.710",3,226,2
OPSSYS_BD,"2024-02-19 14:00:00.710",1,227,2
OPSSYS_BD,"2024-02-19 14:00:00.713",2,227,2
OPSSYS_BD,"2024-02-19 14:00:00.713",3,227,2
OPSSYS_BD,"2024-02-19 14:00:00.717",1,228,2
OPSSYS_BD,"2024-02-19 14:00:00.717",2,228,2
OPSSYS_BD,"2024-02-19 14:00:00.717",3,228,2
OPSSYS_BD,"2024-02-19 14:00:00.720",1,230,2
OPSSYS_BD,"2024-02-19 14:00:00.720",2,230,2
OPSSYS_BD,"2024-02-19 14:00:00.720",3,230,2
OPSSYS_BD,"2024-02-19 14:00:00.720",1,232,2
OPSSYS_BD,"2024-02-19 14:00:00.723",2,232,2
OPSSYS_BD,"2024-02-19 14:00:00.730",3,232,2
OPSSYS_BD,"2024-02-19 14:00:00.730",1,233,2
OPSSYS_BD,"2024-02-19 14:00:00.733",2,233,2
OPSSYS_BD,"2024-02-19 14:00:00.737",3,233,2
OPSSYS_BD,"2024-02-19 14:00:00.737",1,235,2
OPSSYS_BD,"2024-02-19 14:00:00.740",2,235,2
OPSSYS_BD,"2024-02-19 14:00:00.740",3,235,2
OPSSYS_BD,"2024-02-19 14:00:00.743",1,236,2
OPSSYS_BD,"2024-02-19 14:00:00.750",2,236,2
OPSSYS_BD,"2024-02-19 14:00:00.753",3,236,2
OPSSYS_BD,"2024-02-19 14:00:00.757",1,237,2
OPSSYS_BD,"2024-02-19 14:00:00.760",2,237,2
OPSSYS_BD,"2024-02-19 14:00:00.760",3,237,2
OPSSYS_BD,"2024-02-19 14:00:00.763",1,239,2
OPSSYS_BD,"2024-02-19 14:00:00.767",2,239,2
