AUDITUSER,AUDITTIMESTAMP,ID,VARORDER,VARID,COLWIDTH,HDRBACKCOLOR,HDRFORECOLOR,COLBACKCOLOR,COLFORECOLOR,COLTYPE,FACILITYFILENAME
NULL,NULL,23,14,201,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,15,202,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,16,203,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,17,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,23,18,159,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,19,28,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,20,29,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,21,30,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,22,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,23,23,158,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,24,31,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,25,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,64,17,29,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,26,157,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,27,32,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,28,-9999,4.0,16777215,0,NULL,NULL,"",NULL
NULL,NULL,64,18,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,64,19,160,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,20,18,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,21,201,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,22,202,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,23,203,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,24,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,64,25,155,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,26,78,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,27,79,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,28,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,64,29,145,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,30,80,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,31,92,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,32,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,64,33,157,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,34,32,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,35,213,11.0,NULL,NULL,NULL,NULL,Variable,NULL
